trans_type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,trans_datetime
payment ,2281.39,C425,48127,45008.61,C1114,35070,34296.39,0,0,11/07/2022 11:18
Cash_Out,7397.42,C965,68795,56867.58,C1848,61134,65652.42,0,0,22/04/2023 18:02
 CASH_IN,1107.7,C999,12300,12789.3,C1185,87755,86997.7,0,0,04/12/2023 14:57
PAYMENT,27.69,C710,33370,31296.31,C1343,106993,108510.69,0,0,06/02/2023 14:24
TRANSFER,8449.48,C133,69831,57529.52,C1676,190511,200100.48,0,0,10/07/2023 01:17
transfer,6135.48,C177,27209,19159.52,C1107,31489,32862.48,0,0,11/06/2022 09:02
payment ,6528.31,C555,20927,18549.69,C1594,23178,26126.31,0,0,21/07/2022 05:34
payment ,7376.07,C519,34579,22831.93,C1812,79019,81735.07,0,0,27/09/2022 06:22
transfer,589.4,C791,9032,92624.97,C1079,57956,165750.4,0,0,28/09/2022 13:18
payment ,2219.46,C538,93254,86808.54,C1252,178874,181080.46,0,0,01/04/2023 04:47
Cash_Out,615.75,C436,78413,81348.25,C1024,62778,68071.75,0,0,07/04/2023 07:03
TRANSFER,9942.65,C50,40731,34497.35,C1282,188791,197808.65,0,0,28/12/2023 05:41
 CASH_IN,4881.51,C923,92202,83663.49,C1562,164645,169938.51,0,0,09/09/2022 22:45
PAYMENT,2009.09,C442,53767,54155.91,C1886,164760,170693.09,0,0,03/12/2023 22:40
TRANSFER,328.34,C580,72302,74170.66,C1937,111466,110272.34,0,0,23/10/2022 14:38
TRANSFER,1862.44,C978,49954,48107.56,C1619,118292,123507.44,0,0,26/12/2023 22:11
 CASH_IN,1966.57,C968,88365,89195.43,C1966,99747,104383.57,0,0,21/12/2023 18:51
transfer,6539.38,C280,85757,77116.62,C1237,46475,50509.38,0,0,04/12/2022 14:09
CASHOUT,5074.45,C43,25102,15961.55,C1937,50697,58633.45,0,0,22/02/2022 00:09
PAYMENT,10911.26,C686,34433,20507.74,C1315,165050,179013.26,0,0,05/08/2022 18:32
TRANSFER,3195.33,C630,15932,12732.67,C1839,160749,167267.33,0,0,07/07/2022 16:51
Cash_Out,636.86,C364,25714,26619.14,C1462,10272,7765.86,0,0,15/01/2023 14:45
Transfeer,6245.63,C887,57803,52022.37,C1697,137284,147963.63,0,0,08/05/2023 18:15
transfer,7151.96,C268,39743,33902.04,C1591,21071,32085.96,0,0,10/02/2022 12:18
CASHOUT,4119.44,C692,2552,2000.56,C1839,108644,108267.44,0,0,06/06/2022 16:53
CASHOUT,7369.45,C564,56627,54223.55,C1995,95516,105352.45,0,0,15/01/2022 22:26
transfer,3404.07,C292,45987,39087.93,C1607,148369,148929.07,0,0,06/03/2022 09:01
TRANSFER,3698.39,C702,79810,76474.61,C1381,183004,191155.39,0,0,05/06/2023 16:59
 CASH_IN,2789.07,C193,45380,38600.93,C1464,187956,194229.07,0,0,10/12/2022 11:24
payment ,128.74,C370,29250,27598.26,C1995,159697,159748.74,0,0,09/05/2022 16:11
Transfeer,570.84,C551,68344,70514.16,C1149,28831,33652.84,0,0,10/10/2023 18:18
payment ,159.67,C77,64686,68948.33,C1351,118313,119026.67,0,0,17/04/2023 01:05
CASHOUT,5058.65,C188,45028,44338.35,C1441,123950,129746.65,0,0,04/03/2022 15:31
CASHOUT,1886.98,C606,15295,12265.02,C1394,187550,187231.98,0,0,19/05/2022 05:26
Cash_Out,3552.19,C389,55248,56559.81,C1364,62909,70854.19,0,0,14/05/2023 16:04
Cash_Out,11906.33,C24,80205,67137.67,C1005,29367,43173.33,0,0,16/08/2023 11:14
CASHOUT,1433.69,C614,10523,8357.31,C1533,176885,175478.69,0,0,27/01/2023 18:33
Cash_Out,2641.41,C301,45530,40441.59,C1973,20121,25095.41,0,0,06/11/2023 02:57
Cash_Out,7043.75,C670,13769,6114.25,C1219,35547,45261.75,0,0,23/02/2023 15:01
Cash_Out,1299.03,C357,63042,57293.97,C1870,63642,66162.03,0,0,16/10/2022 06:40
CASHOUT,400.52,C719,44645,44810.48,C1011,24914,29224.52,0,0,14/01/2023 20:28
TRANSFER,1710.7,C958,90743,93263.3,C1794,116664,122443.7,0,0,05/05/2023 22:16
TRANSFER,879.04,C858,62142,62020.96,C1384,148250,147396.04,0,0,19/08/2022 23:54
 CASH_IN,13274.75,C93,25557,16358.25,C1703,67258,80029.75,0,0,10/02/2022 19:06
PAYMENT,8254.44,C835,79782,69578.56,C1457,60563,70793.44,0,0,28/01/2022 18:05
Cash_Out,5017.47,C550,78382,73686.53,C1224,181122,189394.47,0,0,15/05/2022 05:10
TRANSFER,10257.6,C335,37085,24382.4,C1335,62607,70563.6,0,0,20/07/2022 08:03
PAYMENT,8139.84,C163,50708,38657.16,C1166,65638,74321.84,0,0,02/02/2022 11:10
transfer,1032.48,C902,51357,45782.52,C1315,92971,89375.48,0,0,17/02/2022 18:33
Cash_Out,11154.07,C340,13470,2036.93,C1115,144334,154515.07,0,0,18/05/2023 21:57
TRANSFER,3875.5,C833,78712,76140.5,C1837,138525,145897.5,0,0,11/02/2023 04:32
TRANSFER,8236.74,C566,79082,67765.26,C1949,176246,181996.74,0,0,28/07/2023 22:08
TRANSFER,1913.65,C41,82324,81078.35,C1497,77760,82144.65,0,0,09/04/2022 14:39
payment ,582.96,C410,94884,95599.04,C1147,137244,134816.96,0,0,15/11/2023 04:47
PAYMENT,1293.43,C897,62028,62363.57,C1035,76788,76737.43,0,0,27/12/2023 01:19
payment ,2785.29,C837,50772,48132.71,C1406,17918,25310.29,0,0,01/07/2023 13:38
transfer,8519.15,C643,52104,39587.85,C1975,7197,17506.15,0,0,05/09/2023 15:38
 CASH_IN,9856.72,C20,73616,61842.28,C1384,97127,110536.72,0,0,07/04/2023 05:03
Cash_Out,34.88,C0,89300,86854.12,C1756,144749,145166.88,0,0,05/10/2023 13:21
TRANSFER,3574.38,C677,6630,2365.62,C1989,142111,141400.38,0,0,05/01/2022 20:33
 CASH_IN,2701.37,C571,98869,93408.63,C1410,27785,35323.37,0,0,06/08/2022 20:02
CASHOUT,1255.84,C75,15701,15211.16,C1307,4570,9559.84,0,0,18/05/2023 22:15
Cash_Out,638.4,C602,14859,16931.6,C1641,72242,69427.4,0,0,02/02/2023 08:46
Transfeer,2059.54,C397,21183,19103.46,C1239,142727,147778.54,0,0,28/01/2023 07:37
 CASH_IN,14315.61,C718,40438,22060.39,C1916,47907,57873.61,0,0,26/07/2022 17:59
PAYMENT,1951.92,C87,97285,94634.08,C1904,9449,7450.92,0,0,15/01/2022 10:20
TRANSFER,3657.26,C593,97423,92735.74,C1366,24630,28029.26,0,0,08/07/2023 02:06
Cash_Out,6070.43,C16,42244,35172.57,C1855,74658,80772.43,0,0,06/04/2023 06:47
Cash_Out,2259.87,C328,74312,71702.13,C1303,46371,48686.87,0,0,22/11/2023 10:02
 CASH_IN,16410.05,C209,69863,51860.95,C1166,24887,43558.05,0,0,29/08/2022 07:58
transfer,1450.31,C823,55565,58076.69,C1553,13859,11989.31,0,0,18/07/2023 07:03
PAYMENT,3438.3,C382,48043,39852.7,C1966,154712,162949.3,0,0,06/04/2022 00:59
TRANSFER,1789.65,C564,73150,74924.35,C1765,48339,48650.65,0,0,30/04/2023 15:17
payment ,1676.25,C639,64361,63634.75,C1861,184307,183040.25,0,0,11/02/2023 14:20
transfer,4702.46,C452,41011,39283.54,C1897,80982,85505.46,0,0,17/10/2023 04:36
Cash_Out,3492.6,C815,10355,5719.4,C1971,21912,22967.6,0,0,20/06/2022 07:05
CASHOUT,264.26,C392,98841,98506.74,C1204,120639,116105.26,0,0,25/06/2023 14:52
Cash_Out,339.76,C309,48692,70313.48,C1194,166587,23632.22,0,0,05/02/2022 14:23
PAYMENT,11944.3,C930,49004,40952.7,C1170,146488,154020.3,0,0,09/06/2023 12:09
TRANSFER,1369.3,C491,29714,30310.7,C1761,115781,120912.3,0,0,09/06/2022 08:24
Cash_Out,1371.36,C759,17198,31341.82,C1615,174818,,0,0,30/11/2023 21:54
payment ,3361.36,C429,66951,65176.64,C1874,174847,182745.36,0,0,31/08/2022 08:09
CASHOUT,1385.72,C40,43625,42330.28,C1038,12227,10254.72,0,0,01/08/2023 16:16
TRANSFER,5575.78,C584,85982,84391.22,C1747,144103,146043.78,0,0,13/11/2023 13:01
CASHOUT,7169.44,C671,18740,7247.56,C1645,33000,42725.44,0,1,11/07/2023 08:19
 CASH_IN,1356.67,C211,3810,3362.33,C1251,51253,47617.67,0,0,28/07/2023 10:27
TRANSFER,6513.74,C332,16569,6616.26,C1681,110848,112892.74,0,0,08/10/2023 19:04
PAYMENT,2292.61,C807,99855,96615.39,C1947,67564,74600.61,0,0,28/01/2022 06:40
TRANSFER,5002.52,C650,79120,77761.48,C1282,120921,121958.52,0,0,12/09/2023 03:24
transfer,5019.19,C445,26783,20419.81,C1206,95969,97605.19,0,0,10/07/2023 07:30
CASHOUT,3836.93,C941,99065,95462.07,C1499,122614,128172.93,0,0,06/12/2022 20:23
CASHOUT,473.15,C303,78047,76719.85,C1142,149385,148574.15,0,0,27/11/2022 02:08
payment ,9018.22,C554,9471,940.78,C1018,75186,85279.22,0,0,02/10/2023 23:48
Cash_Out,1934.05,C690,6163,7309.95,C1701,188823,186833.05,0,0,21/05/2023 12:59
transfer,1032.16,C700,63087,57263.84,C1575,52492,56127.16,0,0,14/12/2022 23:38
 CASH_IN,208.15,C757,62071,61845.85,C1741,30364,29587.15,0,0,18/04/2023 22:32
Cash_Out,4468.89,C809,16065,13737.11,C1818,149433,156030.89,0,0,19/08/2022 10:52
TRANSFER,5659.26,C153,83456,77741.74,C1686,67949,71570.26,0,0,09/07/2022 04:45
PAYMENT,83.63,C615,48348,51244.37,C1824,106330,106253.63,0,0,13/08/2022 03:57
payment ,3588.15,C522,19154,14531.85,C1019,162142,161642.15,0,0,20/01/2023 05:45
CASHOUT,1284.12,C24,20229,22762.88,C1787,103722,104155.12,0,0,12/01/2023 17:02
 CASH_IN,5180.62,C807,52587,52056.38,C1849,153481,157731.62,0,0,10/10/2022 06:33
 CASH_IN,958.02,C24,49713,46578.98,C1447,29854,31511.02,0,0,25/09/2023 08:11
PAYMENT,5871.06,C595,26997,17375.94,C1225,96742,103535.06,0,0,20/09/2023 10:46
TRANSFER,2444.79,C105,21101,18414.21,C1742,119625,125604.79,0,0,16/09/2022 21:55
TRANSFER,13801.72,C752,40391,25952.28,C1100,29655,47840.72,0,0,25/12/2022 04:32
transfer,739.72,C118,75863,72286.28,C1738,141024,142043.72,0,0,11/12/2023 00:07
Cash_Out,2085.66,C970,72723,75452.34,C1293,167437,173416.66,0,0,01/04/2023 01:26
CASHOUT,602.22,C107,95221,91471.78,C1549,66156,63656.22,0,0,15/02/2023 21:42
 CASH_IN,12930.95,C329,59405,42227.05,C1064,121232,135717.95,0,0,11/10/2023 15:32
CASHOUT,10491.67,C179,34948,24904.33,C1498,187796,201677.67,0,0,14/11/2022 06:33
 CASH_IN,1491.64,C880,53031,48407.36,C1075,15455,15178.64,0,0,08/11/2023 04:15
PAYMENT,5393.81,C130,37921,27708.19,C1900,178745,181960.81,0,0,13/08/2022 07:03
transfer,8497.42,C806,72571,60586.58,C1703,132046,140027.42,0,0,22/08/2022 02:45
payment ,4050.66,C602,77007,77050.34,C1634,12679,20394.66,0,0,15/11/2023 22:35
TRANSFER,3771.4,C930,28460,23032.6,C1124,192863,197134.4,0,0,26/10/2023 18:49
transfer,1384.39,C752,21071,19924.61,C1026,27429,25467.39,0,0,09/01/2023 11:05
CASHOUT,488.63,C758,66118,67718.37,C1614,18073,14152.63,0,0,03/11/2023 20:45
payment ,11375.62,C167,48282,38307.38,C1275,70207,78430.62,0,0,31/08/2023 05:59
Cash_Out,11533.87,C222,91725,77747.13,C1571,30365,42089.87,0,0,17/04/2023 17:12
PAYMENT,5013.35,C468,58445,54529.65,C1679,187000,190054.35,0,0,21/08/2022 20:32
TRANSFER,2070.23,C277,81067,79276.77,C1082,74453,71690.23,0,0,23/11/2023 08:33
TRANSFER,2147.84,C189,82208,79304.16,C1485,106657,108183.84,0,0,23/04/2022 18:10
TRANSFER,6472.33,C530,54816,45507.67,C1462,7784,16917.33,0,0,12/05/2023 07:04
Cash_Out,11370.49,C525,85779,76009.51,C1005,112529,125866.49,0,0,18/03/2023 07:10
CASHOUT,7567.81,C754,13731,3984.19,C1675,120913,127490.81,0,1,25/09/2022 10:33
transfer,5136.55,C620,77830,73631.45,C1367,143363,148485.55,0,0,25/05/2023 17:30
payment ,439.46,C945,20719,21411.54,C1470,26154,25441.46,0,0,21/01/2023 22:33
 CASH_IN,881.47,C189,47042,50922.53,C1713,25650,23712.47,0,0,22/01/2023 14:29
transfer,11441.15,C982,49116,38643.85,C1448,199813,216100.15,1,0,23/04/2022 20:42
CASHOUT,4662.47,C217,26325,22830.53,C1906,95830,96324.47,0,0,05/09/2023 19:44
TRANSFER,46.2,C298,22597,18263.8,C1688,36201,32268.2,0,0,17/09/2023 04:09
Cash_Out,534.98,C310,67439,69107.02,C1369,170551,169577.98,0,0,22/03/2022 11:39
CASHOUT,5445.81,C235,14551,7650.19,C1339,72920,82451.81,1,0,30/11/2023 02:48
Cash_Out,25.37,C167,93287,96675.63,C1667,181315,186047.37,0,0,23/04/2022 16:22
PAYMENT,876.58,C779,24278,19264.42,C1277,199667,195831.58,0,0,02/01/2022 22:47
TRANSFER,3978.49,C192,91189,86835.51,C1339,162806,169600.49,0,0,04/10/2023 03:17
PAYMENT,5886.58,C241,15141,9561.42,C1814,81451,83413.58,0,0,08/08/2022 17:36
CASHOUT,5277.21,C161,67913,59060.79,C1613,112169,113817.21,0,0,20/07/2023 15:10
transfer,1269.75,C875,33615,29649.25,C1079,99978,97321.75,0,0,13/08/2022 14:00
CASHOUT,6227.09,C338,62751,52176.91,C1705,42568,48729.09,0,0,20/01/2023 09:21
PAYMENT,1354.12,C790,27452,30448.88,C1792,156865,153258.12,0,0,07/02/2023 08:31
payment ,6861.79,C134,50391,45263.21,C1066,177818,179861.79,0,0,10/05/2022 05:13
payment ,5243.87,C192,75060,65259.13,C1214,163061,173255.87,0,0,22/02/2022 00:21
CASHOUT,4461.59,C401,11698,47857.21,C1415,180537,176044.53,0,0,15/11/2023 13:57
 CASH_IN,5359.07,C391,86711,81020.93,C1144,192455,198310.07,0,0,03/11/2023 02:32
transfer,4200.22,C600,77850,73755.78,C1551,16767,24655.22,0,0,11/12/2023 20:57
PAYMENT,491.79,C41,2365,1309.21,C1723,38652,42931.79,0,0,20/02/2023 12:33
CASHOUT,2292.08,C92,97553,93117.92,C1285,84244,84044.08,0,0,04/09/2022 16:47
PAYMENT,1540.8,C214,97662,100593.2,C1570,144455,149871.8,0,0,15/03/2023 09:51
PAYMENT,1398.5,C348,43372,40012.5,C1539,101733,106203.5,0,0,22/07/2022 13:27
TRANSFER,18061.55,C512,44134,29363.45,C1046,60089,73468.55,0,0,03/07/2022 22:37
payment ,2496.94,C334,37823,33063.06,C1236,26440,33563.94,0,0,03/05/2022 01:59
 CASH_IN,11130.28,C398,71158,61983.72,C1116,52443,60976.28,0,0,05/02/2023 06:05
payment ,4986.67,C923,96076,91328.33,C1150,56325,57039.67,0,0,21/10/2022 18:43
 CASH_IN,3492.18,C105,49396,43856.82,C1056,147683,150176.18,0,0,02/09/2023 01:48
TRANSFER,4300.78,C231,31912,28544.22,C1728,194555,199461.78,0,0,17/07/2022 08:40
payment ,3391.47,C991,56947,53237.53,C1983,153529,160672.47,0,0,26/05/2023 02:12
PAYMENT,1086.07,C557,97697,97943.93,C1384,141328,138789.07,0,0,24/05/2022 14:02
transfer,1647.89,C532,63965,66364.11,C1284,40533,37204.89,0,0,20/07/2022 21:29
TRANSFER,123.08,C176,16508,17993.92,C1753,99826,96103.08,0,0,04/05/2022 18:48
transfer,5184.84,C678,45592,40332.16,C1433,98995,100638.84,0,0,06/07/2022 16:47
PAYMENT,974.67,C293,1919,5522.33,C1319,159353,160434.67,0,0,22/11/2022 14:48
 CASH_IN,14105.42,C264,42595,30739.58,C1610,67275,81086.42,0,0,09/04/2023 20:43
PAYMENT,12317.55,C851,75268,63733.45,C1464,147525,156998.55,0,0,22/10/2023 20:57
payment ,2311.44,C519,33298,35903.56,C1202,137323,140613.44,0,0,07/02/2023 18:56
CASHOUT,77.89,C269,6929,8574.11,C1548,108744,111764.89,0,0,12/12/2022 17:57
Cash_Out,17004.21,C162,83721,62964.79,C1639,13193,32683.21,0,0,28/05/2022 10:09
Cash_Out,16568.68,C822,37924,26205.32,C1134,97192,109865.68,0,0,12/12/2023 19:02
PAYMENT,9586.94,C556,24240,10655.06,C1857,64042,72397.94,0,0,04/05/2023 00:45
PAYMENT,1743.88,C916,87381,86903.12,C1854,59516,58738.88,0,0,02/10/2023 18:46
transfer,2431.46,C744,9228,8240.54,C1575,161764,163926.46,0,0,05/07/2023 05:45
Cash_Out,9523.63,C52,21686,14179.37,C1785,70490,78185.63,0,0,04/12/2022 03:27
Cash_Out,1905.73,C232,11920,13599.27,C1540,33512,38602.73,0,0,03/10/2023 02:46
PAYMENT,928.59,C437,7432,3120.41,C1486,141791,144787.59,0,0,18/04/2023 00:39
payment ,4068.68,C853,63575,55166.32,C1881,186499,192124.68,0,0,31/05/2022 12:33
Cash_Out,13756.47,C682,71725,58492.53,C1737,158721,170807.47,0,0,19/02/2023 05:14
PAYMENT,5954.13,C517,93575,90236.87,C1571,12402,19378.13,0,0,25/10/2022 23:44
TRANSFER,4220.56,C950,33910,29939.44,C1485,102880,104158.56,0,0,03/09/2023 13:47
Cash_Out,511.14,C43,30226,32226.86,C1565,119764,120965.14,0,0,20/09/2022 03:18
CASHOUT,6895.28,C602,73150,,C1839,140288,98554.5,0,0,24/05/2022 16:31
 CASH_IN,23052.85,C707,59099,31365.15,C1660,31050,50972.85,0,0,12/12/2022 21:32
transfer,754.6,C515,86760,89780.4,C1404,95808,95183.6,0,0,16/09/2023 17:53
PAYMENT,10493.04,C574,21446,11912.96,C1432,5050,14534.04,0,0,02/01/2022 21:30
Cash_Out,6750.17,C91,70375,63903.83,C1547,46716,56782.17,0,0,31/10/2022 19:03
Cash_Out,5970.37,C758,62509,60311.63,C1656,115455,124928.37,0,0,11/09/2022 03:47
payment ,6061.44,C730,95739,86444.56,C1249,133510,135345.44,0,0,14/10/2023 01:14
PAYMENT,2227.46,C953,557,3077.54,C1079,108686,114798.46,0,0,29/03/2023 13:22
CASHOUT,1737.81,C437,30666,25726.19,C1948,47431,49446.81,0,0,06/02/2022 03:44
Cash_Out,8286.87,C336,37389,33292.13,C1014,16760,21422.87,0,0,09/06/2022 20:01
TRANSFER,8306.64,C742,47700,43342.36,C1974,147545,156790.64,0,0,09/01/2022 08:36
transfer,10089.75,C293,99143,84335.25,C1039,43815,58085.75,0,0,21/08/2022 21:54
PAYMENT,12223.08,C699,24578,13691.92,C1080,193532,203601.08,0,0,09/04/2022 13:34
Cash_Out,3580.47,C819,74779,71364.53,C1509,140329,145726.47,0,0,21/10/2023 04:23
 CASH_IN,3480.92,C924,9596,8236.08,C1306,87986,93896.92,0,0,27/07/2022 03:21
payment ,8004.75,C679,57500,51904.25,C1704,25634,38582.75,0,0,11/05/2022 13:50
payment ,5248.6,C966,72534,67774.4,C1396,60403,62367.6,0,0,08/02/2023 18:17
transfer,6052.75,C263,10129,3972.25,C1677,46573,57443.75,0,0,01/06/2022 18:45
PAYMENT,7943.1,C104,63394,50580.9,C1969,159720,169443.1,0,0,23/02/2022 06:37
PAYMENT,11036.62,C992,66046,51302.38,C1864,180052,189419.62,0,0,30/04/2022 04:54
PAYMENT,2062.41,C223,11596,10592.59,C1921,127099,133242.41,0,0,04/11/2023 00:24
CASHOUT,2354.68,C418,65355,64957.32,C1203,10296,9028.68,0,0,20/09/2023 16:18
TRANSFER,493.48,C977,12974,7540.52,C1210,191269,191346.48,0,0,10/08/2023 01:50
payment ,4317.07,C114,66673,59566.93,C1398,21959,28657.07,0,0,17/09/2023 10:05
PAYMENT,183.02,C890,93433,97989.98,C1372,14570,14028.02,0,0,24/02/2023 14:26
CASHOUT,3133.03,C234,70202,72041.97,C1388,35423,39094.03,0,0,26/02/2023 22:29
PAYMENT,3911.47,C783,74442,71806.53,C1257,80263,89073.47,0,0,14/04/2022 07:28
PAYMENT,1688.15,C273,21818,20492.85,C1114,148971,152969.15,0,0,11/09/2022 05:59
CASHOUT,4468.16,C954,43246,41929.84,C1333,166857,166556.16,0,0,15/08/2022 15:41
TRANSFER,154.88,C229,55598,58416.12,C1348,112446,117404.88,0,0,22/04/2022 14:51
payment ,8646.76,C33,33758,26101.24,C1508,56963,65035.76,0,0,18/04/2023 22:16
Cash_Out,2232.93,C387,24204,22409.07,C1448,34341,31820.93,0,0,09/04/2022 20:16
 CASH_IN,679.45,C708,34928,36925.55,C1076,5597,5654.45,0,0,02/06/2022 05:22
PAYMENT,3693.27,C500,53609,45388.73,C1827,141316,143750.27,0,0,04/12/2022 05:44
TRANSFER,7348.24,C894,30552,18261.76,C1607,134868,137278.24,0,0,07/12/2023 12:17
